StudentID,Date,TableID,Slot_1,Slot_2,Slot_3,Slot_4,Slot_5,Slot_6,Slot_7,Slot_8
131,2025-02-01,,1,1,1,1,1,1,1,0
163,2025-02-01,0336,0,1,1,0,0,0,0,0
76,2025-01-23,,0,0,0,1,1,1,1,1
302,2025-01-23,0201,0,1,0,0,1,0,0,0
328,2025-01-08,,0,1,1,1,1,1,1,1
360,2025-01-08,0024,1,0,0,0,0,0,0,0
479,2025-01-28,,1,1,1,0,0,1,1,1
499,2025-01-28,0123,0,1,1,0,1,0,1,0
369,2025-01-24,,1,1,1,1,0,1,1,0
83,2025-01-24,0312,1,0,1,1,0,0,0,1
73,2025-01-07,0105,1,0,0,0,1,0,1,0
425,2025-01-07,,0,0,1,0,1,0,0,1
433,2025-01-04,0124,0,1,1,1,0,1,1,0
461,2025-01-04,,1,1,1,1,0,0,1,1
387,2025-01-09,,1,1,1,1,1,1,1,1
30,2025-01-09,0313,1,0,0,1,1,0,0,1
269,2025-01-06,,0,1,1,0,0,0,1,1
218,2025-01-06,0226,1,0,0,1,0,0,0,0
418,2025-01-07,0003,1,1,1,1,1,0,0,0
170,2025-01-07,,0,0,0,0,0,1,0,0
90,2025-01-13,0219,0,1,1,1,0,1,0,0
393,2025-01-13,,0,0,0,1,0,0,0,1
118,2025-01-21,0222,0,1,1,0,1,0,0,0
233,2025-01-21,,1,0,1,0,0,0,1,0
120,2025-01-09,,1,1,0,0,1,1,1,1
50,2025-01-09,0107,0,0,1,1,1,0,0,0
422,2025-01-25,0119,0,0,0,0,1,1,0,1
430,2025-01-25,,0,0,1,1,1,0,0,0
122,2025-01-27,0008,1,1,1,1,0,1,1,1
238,2025-01-27,,1,1,1,1,0,0,0,0
297,2025-02-01,0220,0,0,1,1,1,1,1,0
79,2025-02-01,,0,0,0,0,0,0,0,1
440,2025-01-02,,0,1,1,1,0,0,1,1
78,2025-01-02,0237,0,0,0,1,0,1,0,0
457,2025-01-19,,1,1,1,1,1,1,1,0
185,2025-01-19,0347,0,0,0,0,0,0,0,1
215,2025-01-20,,0,0,1,0,0,1,1,1
413,2025-01-20,0121,1,0,1,1,1,1,0,0
189,2025-01-20,,1,0,0,0,0,1,0,0
389,2025-01-20,0009,1,1,0,1,0,0,0,1
182,2025-01-30,0350,1,1,1,0,1,0,1,1
353,2025-01-30,,1,1,0,1,0,1,0,0
31,2025-01-21,,1,1,0,0,1,1,1,1
69,2025-01-21,0330,1,0,1,1,0,0,0,1
384,2025-01-05,0336,0,0,1,1,1,1,1,1
16,2025-01-05,,0,1,0,0,0,0,0,0
179,2025-01-02,0247,1,1,1,1,1,1,0,0
231,2025-01-02,,1,0,0,0,0,1,1,0
439,2025-01-13,0245,0,0,0,1,1,0,1,1
464,2025-01-13,,0,1,1,1,1,0,0,0
12,2025-01-17,,1,1,1,0,0,0,0,1
177,2025-01-17,0012,0,0,0,1,1,1,1,1
89,2025-01-09,,1,1,1,1,0,1,0,1
27,2025-01-09,0112,0,0,0,1,0,1,0,1
381,2025-01-13,0029,0,0,1,1,0,0,0,0
157,2025-01-13,,0,1,1,0,0,0,0,0
279,2025-01-11,0114,1,1,1,1,1,1,1,1
49,2025-01-11,,0,0,0,0,0,0,1,1
488,2025-01-13,,1,1,1,1,1,1,1,1
320,2025-01-13,0333,0,0,0,0,0,0,0,0
390,2025-01-22,0225,0,1,1,1,1,1,1,0
350,2025-01-22,,0,0,0,0,1,0,1,0
367,2025-01-18,,1,1,1,1,0,1,1,1
95,2025-01-18,0222,0,1,0,0,0,1,1,1
197,2025-01-25,,0,1,0,1,1,0,0,1
17,2025-01-25,0231,0,0,0,0,0,0,0,0
322,2025-01-30,,1,1,1,1,1,0,0,1
36,2025-01-30,0245,1,1,0,0,0,0,1,1
114,2025-01-30,,1,1,1,0,0,0,1,0
416,2025-01-30,0021,1,0,1,1,1,1,0,0
128,2025-01-04,0325,1,1,0,1,0,0,0,1
44,2025-01-04,,0,0,1,1,0,1,1,0
264,2025-01-31,,0,1,1,1,1,1,0,1
63,2025-01-31,0346,0,0,1,0,0,1,0,0
209,2025-01-06,,1,0,1,0,1,1,0,0
295,2025-01-06,0343,1,1,0,0,0,1,0,0
298,2025-01-02,,1,1,1,1,0,0,1,1
155,2025-01-02,0312,0,0,0,1,0,0,0,0
354,2025-01-25,,1,0,1,0,1,1,1,1
244,2025-01-25,0113,0,1,1,0,1,0,0,0
317,2025-01-12,,1,1,0,1,0,0,1,0
145,2025-01-08,0226,0,1,0,0,1,0,1,1
228,2025-02-01,,0,1,1,0,1,0,1,1
442,2025-01-26,,1,1,1,1,0,0,1,1
268,2025-01-25,0029,1,0,1,1,1,1,0,1
213,2025-01-22,0120,1,0,1,1,1,1,0,0
15,2025-01-11,0020,1,0,0,1,0,0,1,1
318,2025-01-04,,1,0,1,1,1,0,0,0
103,2025-01-24,,1,0,0,1,0,0,1,0
208,2025-01-21,0015,1,0,1,1,0,0,1,0
392,2025-01-18,0102,0,1,1,0,0,0,0,0
348,2025-01-20,,0,1,1,0,0,0,1,1
388,2025-01-10,,1,0,0,0,0,1,1,1
374,2025-01-12,0123,1,0,0,1,1,0,1,1
263,2025-01-21,,0,1,1,1,0,0,0,1
251,2025-01-03,0343,0,0,1,1,0,0,1,1
478,2025-01-24,0343,0,0,0,1,0,0,0,1
378,2025-01-03,,1,0,0,1,0,0,1,1
113,2025-01-07,0246,0,1,1,0,1,0,1,1
108,2025-01-18,0016,0,0,1,0,0,0,1,0
256,2025-01-25,0202,1,0,1,0,0,0,0,0
226,2025-01-26,0245,1,1,1,0,1,0,0,1
13,2025-01-06,,1,0,1,0,0,0,0,0
306,2025-01-17,,1,0,0,1,0,1,0,1
358,2025-01-29,0327,0,1,0,1,0,0,1,0
436,2025-01-22,,0,0,0,1,1,1,1,1
435,2025-01-12,0002,1,1,0,0,0,1,1,1
56,2025-02-01,,0,1,1,1,1,0,1,0
151,2025-01-06,0021,1,0,1,0,1,0,1,0
80,2025-01-04,0004,1,0,0,1,0,1,1,1
47,2025-01-19,,1,1,0,1,1,0,1,0
207,2025-01-21,0116,1,0,0,1,1,0,1,0
146,2025-01-13,,1,1,1,0,1,0,1,1
105,2025-01-14,,0,0,1,0,1,0,1,0
25,2025-01-19,0026,1,0,0,1,0,1,0,0
143,2025-01-08,0126,1,0,1,0,1,1,0,0
250,2025-01-23,0316,0,1,0,0,1,1,0,0
67,2025-01-27,0030,0,0,1,0,1,1,0,1
291,2025-01-30,0321,0,0,0,0,1,0,0,0
115,2025-01-07,0336,1,1,0,1,1,1,1,0
